代码,名称,买入日,卖出日,买入月份,卖出日市场环境,持仓天数,卖出时连续弱市持仓天数,累计弱市持仓天数,最大连续弱市持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金,信号日,信号日市场环境,信号日市场MA20宽度,信号日市场MA60宽度,信号日市场MA60上行宽度,信号日指数站上MA20,信号日指数MA20上行,信号日指数站上MA60,信号日收盘,信号日RSI14,信号日量比,信号日20日均成交额,信号日距MA20,信号日距MA60,信号日站上MA20,信号日站上MA60,信号日MA20上行,信号日MA60上行,信号日突破20日新高,信号日前5日阳线数,买入日市场环境,买入日市场MA20宽度,买入日市场MA60宽度,买入日开盘跳空,买入日开盘距MA20
002036,联创电子,2025-08-19,2025-09-02,2025-08,中,10,0,0,0,1300,11.613,11.477,15102.13,14907.64,-194.49,-0.011726331633540471,90,90,沉没止损,109644.37,2025-08-18,强,0.6581632653061225,0.8350340136054422,0.8316326530612245,True,True,True,11.45,59.90783371488032,1.759194395860239,393308377.4625,0.05026600623738742,0.08073244399697965,True,True,True,True,True,3,强,0.75,0.8605442176870748,0.012227074235807933,0.059366573739774164
000938,紫光股份,2025-08-19,2025-09-03,2025-08,弱,11,0,0,0,600,26.593,27.475,15960.85,16471.72,510.87,0.033161258492810895,90,90,沉没止损,126116.09,2025-08-18,强,0.6581632653061225,0.8350340136054422,0.8316326530612245,True,True,True,26.39,66.0332539371816,2.2491042159360193,1486663975.2154999,0.06248490216603586,0.09163862997076833,True,True,True,True,True,4,强,0.75,0.8605442176870748,0.0056839712012124455,0.06509350670198244
000683,博源化工,2025-08-22,2025-09-19,2025-08,弱,20,1,4,3,2700,5.812,5.729,15696.32,15454.27,-242.05,-0.01429554683735958,90,90,沉没止损,127657.6,2025-08-21,强,0.8401360544217688,0.8979591836734694,0.8707482993197279,True,True,True,5.8,62.49999935661764,1.8040212586122841,554737634.8545,0.044480461012065486,0.16708028707492129,True,True,True,True,True,3,强,0.8248299319727891,0.8962585034013606,0.0,0.04382255016647174
001358,兴欣新材,2025-09-11,2025-09-25,2025-09,弱,10,5,5,5,500,27.816,30.259,13912.76,15117.12,1204.36,0.08785886440375724,90,90,转弱持仓退出,142774.71,2025-09-10,中,0.41765704584040747,0.6502546689303905,0.8183361629881154,True,True,True,27.98,63.81692565687072,1.6471381070194644,85130771.1375,0.09988600180824725,0.16045815562636934,True,True,True,True,True,5,中,0.4567062818336163,0.6774193548387096,-0.007862759113652529,0.07963052989790964
601567,三星电气,2025-09-25,2025-10-20,2025-09,弱,11,1,4,2,200,23.387,23.583,4682.34,4709.19,26.85,0.008383404570464865,90,90,沉没止损,128648.33,2025-09-24,弱,0.33503401360544216,0.4710884353741497,0.7261904761904762,True,True,True,23.66,64.51016619165576,1.654696870124464,455409257.291,0.05882616186704248,0.06100240661295375,True,True,False,True,True,3,弱,0.3140916808149406,0.4227504244482173,-0.013524936601859716,0.04168526287601537
600235,民丰特纸,2025-09-29,2025-10-21,2025-09,中,10,2,3,2,2000,7.074,7.086,14153.24,14159.51,6.27,0.0016510887573295526,80,80,沉没止损,142807.84,2025-09-26,弱,0.2699490662139219,0.3904923599320883,0.6740237691001698,True,True,True,7.0,63.79310267835909,1.805858244139266,85211623.3925,0.04228707564026224,0.06141015921152371,True,True,True,True,True,3,中,0.3548387096774194,0.4397283531409168,0.008571428571428452,0.04755545663624905
600173,卧龙新能,2025-10-22,2025-10-24,2025-10,强,2,0,0,0,1500,10.23,8.782,15350.63,13162.01,-2188.62,-0.14154062101067205,80,80,绝对止损,37241.95,2025-10-21,中,0.533106960950764,0.5042444821731749,0.6044142614601019,True,True,True,10.32,64.70588220069206,1.5182515098909346,850942084.0925,0.1323238973008558,0.3837799182068071,True,True,True,True,True,4,强,0.5534804753820034,0.5195246179966044,-0.010658914728682078,0.11970170532434055
002017,东信和平,2025-10-22,2025-10-31,2025-10,强,7,0,0,0,500,26.954,23.732,13481.9,11855.29,-1626.61,-0.11951413158812477,76,76,绝对止损,34651.42,2025-10-21,中,0.533106960950764,0.5042444821731749,0.6044142614601019,True,True,True,27.41,67.0813396230489,1.901020121109899,1131056012.9229999,0.11763506625891962,0.017528012027693274,True,True,False,True,False,3,强,0.5534804753820034,0.5195246179966044,-0.01860634804815764,0.09434115780480856
000735,罗 牛 山,2025-10-21,2025-11-04,2025-10,弱,10,0,0,0,2100,6.723,7.994,14124.18,16773.96,2649.78,0.18897525366554516,90,90,亢奋止盈,36025.65,2025-10-20,弱,0.3904923599320883,0.4244482173174873,0.6112054329371817,False,True,True,6.71,66.6666658024692,1.7433259385254434,187875394.89000002,0.04403298584098336,0.05142200517092799,True,True,True,True,True,5,中,0.533106960950764,0.5042444821731749,0.0,0.04208728063363876
002282,博深股份,2025-10-21,2025-11-04,2025-10,弱,10,0,0,0,1900,7.325,7.335,13921.78,13925.1,3.32,0.0014580961196621533,82,82,沉没止损,49950.75,2025-10-20,弱,0.3904923599320883,0.4244482173174873,0.6112054329371817,False,True,True,7.33,67.93893057164496,2.2832761302181313,47104364.241,0.04789135096497499,0.0025302605484511798,True,True,True,False,True,3,中,0.533106960950764,0.5042444821731749,-0.0027285129604366354,0.04264726857794887
603318,水发燃气,2025-10-22,2025-11-05,2025-10,弱,10,1,1,1,2200,6.994,6.996,15391.71,15378.46,-13.25,0.000288820639523106,86,86,沉没止损,65329.22,2025-10-21,中,0.533106960950764,0.5042444821731749,0.6044142614601019,True,True,True,6.99,67.88990738490034,2.1598319577608915,57335305.65800001,0.039791744142804175,0.030239013485961364,True,True,True,True,False,3,强,0.5534804753820034,0.5195246179966044,-0.0014306151645206988,0.03714710252600306
601139,深圳燃气,2025-10-22,2025-11-05,2025-10,弱,10,1,1,1,2400,6.683,6.557,16045.02,15723.6,-321.42,-0.018924669401826022,78,78,沉没止损,81052.81,2025-10-21,中,0.533106960950764,0.5042444821731749,0.6044142614601019,True,True,True,6.7,67.5324663046045,1.9310175593896093,121345024.39099999,0.0280804050943686,0.03440290250366673,True,True,True,True,False,1,强,0.5534804753820034,0.5195246179966044,-0.004477611940298498,0.021752450980392135
